Key	Company	Position	Location	Category	Experience_Level	Salary
08b48e87ea218807	2HB Incorporated	Software Engineer	Annapolis Junction, MD	SE	MID_LEVEL	
4c82ca7ddce5b8cc	Management Support Technology, Inc.	SharePoint Developer (Remote)	Remote in Fairfax, VA 22030	SE	MID_LEVEL	
9fb81873535208e4	Georgia Lottery Corporation	Senior Software Developer	Atlanta, GA 30303 (Five Points area)	SE	MID_LEVEL	$65,000 - $75,000 a year
f5d6ff0660b2ead4	Humana	Senior Software Engineer Varicent ICM	Remote in Ohio	SE	MID_LEVEL	
083148a7948b7c70	Humana	Senior Software Engineer Varicent ICM	Remote in Maine	SE	MID_LEVEL	
c3ed7e30624b2ee9	Thunderbolt Logistics	Software Engineer II	Moorestown, NJ	SE	MID_LEVEL	
72d0e4e1e7fbf3fd	Amazon Development Center U.S., Inc.	Software Development Engineer, ML_AI	Bellevue, WA	SE	MID_LEVEL	From $115,000 a year
33b6f22f78b41c7c	Humana	Senior Software Engineer Varicent ICM	Remote in Florida	SE	MID_LEVEL	
371f008f1fe17fc5	Humana	Senior Software Engineer Varicent ICM	Remote in South Dakota	SE	MID_LEVEL	
2299e75189bfad4f	Humana	Senior Software Engineer Varicent ICM	Remote in Michigan	SE	MID_LEVEL	
bdaeada344ef6a98	Humana	Senior Software Engineer Varicent ICM	Remote in Tennessee	SE	MID_LEVEL	
b02fb778260f9b33	Options Clearing Corporation	Associate Principal, Software Engineering	Dallas, TX 75019 (Coppell area)	SE	MID_LEVEL	$139,464 - $178,500 a year
d67548d30c1d0ffd	Humana	Senior Software Engineer Varicent ICM	Remote in Wisconsin	SE	MID_LEVEL	
4361459f07024fa3	Imerza, LLC	Unreal Engine / C++ Engineer	Remote	SE	MID_LEVEL	$80,000 - $200,000 a year
932a38b8e81063c6	SANS Consulting Services, Inc.	Full Stack (C#, JavaScript/Angular, SQL) Risk IT Developer	New York, NY 10048 (Financial District area)	SE	MID_LEVEL	$170,000 - $200,000 a year
9bf4b063c102c095	Radancy	Full Stack Engineer	New York, NY 10004 (Financial District area)	SE	MID_LEVEL	
d31b5748ce090501	Humana	Senior Software Engineer Varicent ICM	Remote in Nebraska	SE	MID_LEVEL	
b32c9a340d5e1e28	NICE	Software Engineer	Sandy, UT 84070	SE	MID_LEVEL	
