Key	Company	Position	Location	Category	Experience_Level	Salary
c0dab975dd74947e	Charter Mechanical	Project Engineer / Asst. Proj Mgr - Mechanical Contractor	Portland, OR 97223	ME	ENTRY_LEVEL	Estimated $63.9K - $80.9K a year
e6b87672e218bf6d	Gulfstream Aerospace Corporation	Manufacturing Engineer I-Quality and Supply Chain	Savannah, GA	ME	ENTRY_LEVEL	Estimated $69.3K - $87.7K a year
faa95c1d4a300b18	Kimberly-Clark	Lead Mechanical Engineer	Beech Island, SC	ME	ENTRY_LEVEL	Estimated $98.8K - $125K a year
8e213096aa70b40b	Shell	Mechanical Facility Engineer	New Orleans, LA	ME	ENTRY_LEVEL	Estimated $81.3K - $103K a year
b038e155be3e36dd	Westinghouse Electric Co	Mechanical Engineer 1	Rock Hill, SC 29730	ME	ENTRY_LEVEL	Estimated $72.8K - $92.1K a year
662530395784567c	Eaton	Mechanical Engineer	Jackson, MS 39206 (Northbrook area)	ME	ENTRY_LEVEL	$62,250.03 - $91,300.04 a year
cc90cc19c4bb4293	Alvine Engineering & Associates	Mechanical Engineer	Oklahoma City, OK 73116	ME	ENTRY_LEVEL	Estimated $76.8K - $97.2K a year
65662d406aaf6ca9	Evergy	Mechanical Procurement Engineer	Burlington, KS 66839	ME	ENTRY_LEVEL	$61,900 - $77,400 a year
987ea73654cc873e	Westinghouse Electric Co	Mechanical Engineer	Cranberry Township, PA 16066	ME	ENTRY_LEVEL	Estimated $71K - $89.9K a year
f51e05a8850c4df9	Transwall Office Systems	Engineer Product Design	West Chester, PA	ME	ENTRY_LEVEL	$60,000 - $80,000 a year
3c2bf331c35879b6	Fluke	Manufacturing Engineer	Everett, WA	ME	ENTRY_LEVEL	$56,465 - $104,765 a year
5d81ee122c700753	ztp	Mechanical Project Engineer	Las Vegas, NV 89104 (Sunrise Manor area)	ME	ENTRY_LEVEL	$90,000 - $100,000 a year
f3a1b2cef6114e5f	Quest Global	Mechanical Engineer	Phoenix, AZ 85029 (North Mountain area)	ME	ENTRY_LEVEL	$24 - $30 an hour
96dbeef3e6e81ebc	VERTERRA ENERGY INC	Mechanical Engineer - Subsea Systems	New Brighton, MN	ME	ENTRY_LEVEL	$100,000 - $120,000 a year
3291721ef98bd8eb	Jacobs	Operations Mechanical Engineer (Software Focus) - Main Propulsion Systems	Kennedy Space Center, FL	ME	ENTRY_LEVEL	Estimated $91.4K - $116K a year
6abe9947479bec04	US Veterans Health Administration	Healthcare Engineer	Leeds, MA 01053	ME	ENTRY_LEVEL	$56,115 - $124,779 a year
e1a0b5baf55a15a0	Quest Global	Mechanical Engineer	Phoenix, AZ 85029 (North Mountain area)	ME	ENTRY_LEVEL	Estimated $70.1K - $88.8K a year
00887eceefa1faba	Lozier	Manufacturing Engineer II	Scottsboro, AL	ME	ENTRY_LEVEL	
