Key	Company	Position	Location	Category	Experience_Level	Salary
e6eaa21f0ad78cdd	Cemen Tech	Mechanical Engineer	Indianola, IA 50125	FEA	ENTRY_LEVEL	Estimated $73.8K - $93.4K a year
6596d98925b5df2d	1st St. NW Technical Staffing	Mechanical Engineer – plastic/machined parts	Clearwater, FL	FEA	ENTRY_LEVEL	$90,000 - $110,000 a year
02cbffdd36a60c06	NOVAE LLC	Manufacturing Engineer	Clarinda, IA 51632	FEA	ENTRY_LEVEL	Estimated $58.3K - $73.9K a year
ac98e9d28a8f3f07	SpaceX	Production Engineer (Starship Electronics)	Los Angeles, CA (Terminal Island area)	FEA	ENTRY_LEVEL	$95,000 - $115,000 a year
1392c0ef9f2a2a01	YAZAKI Corporation	Engineer, Product Dev - Eng'g	Hybrid remote in Canton, MI	FEA	ENTRY_LEVEL	Estimated $75.5K - $95.6K a year
dbbcfb073945174a	Advanced Composites, Inc.	Manufacturing/Composites Engineer	Salt Lake City, UT 84119	FEA	ENTRY_LEVEL	Estimated $65.3K - $82.7K a year
0cb98232fefe52d3	Gilbarco	Mechanical Engineer II	Hybrid remote in Greensboro, NC	FEA	ENTRY_LEVEL	$77,000 - $95,000 a year
64a29f0203fb399a	Metso Outotec	GRI Mechanical Product Engineering 1	York, PA	FEA	ENTRY_LEVEL	Estimated $64.8K - $82.1K a year
cd3f59a760623532	RFA Engineering	Design Engineer	Appleton, WI	FEA	ENTRY_LEVEL	$65,000 - $100,000 a year
a1a5740c5b08ace1	Princeton Plasma Physics Laboratory	Rotational Associate Engineer - Mechanical	Princeton, NJ 08540	FEA	ENTRY_LEVEL	Estimated $63.8K - $80.8K a year
ea37a34a5049aa5c	Flatiron Crane Operating Company, LLC	Mechanical Project Engineer	Euclid, OH	FEA	ENTRY_LEVEL	$25 - $30 an hour
e34923fd03a654a3	NOVAE LLC	Manufacturing Engineer	Clarinda, IA 51632	FEA	ENTRY_LEVEL	Estimated $58.3K - $73.9K a year
c7a9573326b686f1	Commercial Metals Company	Civil Engineer (Structural)	Suwanee, GA 30024	FEA	ENTRY_LEVEL	Estimated $93.3K - $118K a year
747e0d51df2df3c8	Oldcastle Infrastructure	Engineering Manager - Littleton, CO	Littleton, CO 80125	FEA	ENTRY_LEVEL	$110,000 - $120,000 a year
0ce696092c271763	Flatiron Crane Operating Company, LLC	Civil Structural Design Project Engineer	Salem, OH 44460	FEA	ENTRY_LEVEL	$60,000 - $85,000 a year
819e6b9ede371c51	Emmert International	Structural Engineer	Houston, TX 77013 (Northshore area)	FEA	ENTRY_LEVEL	$75,000 - $102,061 a year
214468e990d87306	Apple	Safety FEA Engineer	Cupertino, CA	FEA	ENTRY_LEVEL	
81d2f9817a51a74a	Apple	System FEA Engineer	Culver City, CA	FEA	ENTRY_LEVEL	
d5da47451698cde8	SpaceX	Harness Design Engineer (Starlink)	Redmond, WA (SE Redmond area)	FEA	ENTRY_LEVEL	$95,000 - $115,000 a year
ae29ccf92377a90d	Lawrence Livermore National Laboratory	Spacecraft Mechanical Engineers	Livermore, CA	FEA	ENTRY_LEVEL	$106,440 - $136,680 a year
aa011aca24902bda	SpaceX	Starshield Responsible Engineer	Hawthorne, CA	FEA	ENTRY_LEVEL	$95,000 - $115,000 a year
64f4dad471ec5838	Railway Equipment Company	Mechanical Engineer	Delano, MN 55328	FEA	ENTRY_LEVEL	Estimated $72.2K - $91.4K a year
686f210fa343a5a9	Dynetics	Entry-Level Design and Analysis Engineer - Hypersonic Flight Test	Crane, IN	FEA	ENTRY_LEVEL	Estimated $76.6K - $97.1K a year
2c969efda1f5926f	BOEING	Product Design & Analysis Engineer	Sylmar, CA	FEA	ENTRY_LEVEL	Estimated $94.5K - $120K a year
523afc9ceff368f5	Firefly Aerospace	Structures Engineer I	Cedar Park, TX 78613	FEA	ENTRY_LEVEL	Estimated $78.7K - $99.6K a year
8733ff549803796f	AirPro Fan & Blower Company	Mechanical Engineer	Rhinelander, WI 54501	FEA	ENTRY_LEVEL	Estimated $58.7K - $74.3K a year
9a173b6863265f07	XRG Technologies LLC	Engineer in Training	Tulsa, OK 74104 (Cherry Street area)	FEA	ENTRY_LEVEL	Estimated $46K - $58.3K a year
f4071b274d72c389	Strick Trailers, LLC	DESIGN ENGINEER	Monroe, IN 46772	FEA	ENTRY_LEVEL	$50,000 - $60,000 a year
c9595f4331da423e	Hubbell Incorporated	Associate Product Engineer - Leeds, AL	Leeds, AL 35094	FEA	ENTRY_LEVEL	Estimated $52.8K - $66.9K a year
