 REST 	f2da29d355dae096	PM	MID_LEVEL	Skill
 Testing 	f2da29d355dae096	PM	MID_LEVEL	Skill
 Analytics 	f2da29d355dae096	PM	MID_LEVEL	Skill
 Communication 	f2da29d355dae096	PM	MID_LEVEL	Skill
 Problem Solving 	6346da3a9669ddc9	PM	MID_LEVEL	Skill
 Communication 	6346da3a9669ddc9	PM	MID_LEVEL	Skill
 Analytics 	92e83d10164655d0	PM	MID_LEVEL	Skill
 Communication 	92e83d10164655d0	PM	MID_LEVEL	Skill
 Go 	0cc6d141caa860e1	PM	MID_LEVEL	Language
 Development 	0cc6d141caa860e1	PM	MID_LEVEL	Skill
 Testing 	0cc6d141caa860e1	PM	MID_LEVEL	Skill
 Analytics 	0cc6d141caa860e1	PM	MID_LEVEL	Skill
 Leadership 	0cc6d141caa860e1	PM	MID_LEVEL	Skill
 Development 	c14fa715d49bb7c6	PM	MID_LEVEL	Skill
 Agile 	c14fa715d49bb7c6	PM	MID_LEVEL	Skill
 Collaboration 	c14fa715d49bb7c6	PM	MID_LEVEL	Skill
 Analytics 	c14fa715d49bb7c6	PM	MID_LEVEL	Skill
 Development 	fc4fd11be69a1a7d	PM	MID_LEVEL	Skill
 Testing 	fc4fd11be69a1a7d	PM	MID_LEVEL	Skill
 Communication 	fc4fd11be69a1a7d	PM	MID_LEVEL	Skill
 Leadership 	fc4fd11be69a1a7d	PM	MID_LEVEL	Skill
 Python 	d622cb2409c409e4	PM	MID_LEVEL	Language
 C++ 	d622cb2409c409e4	PM	MID_LEVEL	Language
 Development 	d622cb2409c409e4	PM	MID_LEVEL	Skill
 Agile 	d622cb2409c409e4	PM	MID_LEVEL	Skill
 Testing 	d622cb2409c409e4	PM	MID_LEVEL	Skill
 Software Development 	d622cb2409c409e4	PM	MID_LEVEL	Skill
 Jenkins 	d622cb2409c409e4	PM	MID_LEVEL	Tool
 Git 	d622cb2409c409e4	PM	MID_LEVEL	Tool
 Development 	9590d1302dd8f153	PM	MID_LEVEL	Skill
 Project Management 	9590d1302dd8f153	PM	MID_LEVEL	Skill
 Communication 	9590d1302dd8f153	PM	MID_LEVEL	Skill
 Development 	1ea4548a391fd301	PM	MID_LEVEL	Skill
 Collaboration 	1ea4548a391fd301	PM	MID_LEVEL	Skill
 Communication 	1ea4548a391fd301	PM	MID_LEVEL	Skill
 Powerpoint 	1ea4548a391fd301	PM	MID_LEVEL	Tool
 Microsoft Office 	1ea4548a391fd301	PM	MID_LEVEL	Tool
 Excel 	1ea4548a391fd301	PM	MID_LEVEL	Tool
 Development 	db61c693dab6f2b6	PM	MID_LEVEL	Skill
 Operating System 	db61c693dab6f2b6	PM	MID_LEVEL	Skill
 Communication 	9aa09191048d7c57	PM	MID_LEVEL	Skill
 Development 	13be3971fbc4a770	PM	MID_LEVEL	Skill
 Product Strategy 	13be3971fbc4a770	PM	MID_LEVEL	Skill
 Communication 	13be3971fbc4a770	PM	MID_LEVEL	Skill
 Development 	53b9fdbd4817ec2f	PM	MID_LEVEL	Skill
 Communication 	53b9fdbd4817ec2f	PM	MID_LEVEL	Skill
 Analytical Skills 	53b9fdbd4817ec2f	PM	MID_LEVEL	Skill
 Microsoft Office 	53b9fdbd4817ec2f	PM	MID_LEVEL	Tool
 Development 	3d5ad79cfa9eaee4	PM	MID_LEVEL	Skill
 Agile 	3d5ad79cfa9eaee4	PM	MID_LEVEL	Skill
 Software Development 	3d5ad79cfa9eaee4	PM	MID_LEVEL	Skill
 Agile 	2f1d830d47f64eb2	PM	MID_LEVEL	Skill
 Communication 	2f1d830d47f64eb2	PM	MID_LEVEL	Skill
 Leadership 	2f1d830d47f64eb2	PM	MID_LEVEL	Skill
 Development 	f85f30a761cc4c2c	PM	MID_LEVEL	Skill
 Project Management 	f85f30a761cc4c2c	PM	MID_LEVEL	Skill
 Collaboration 	f85f30a761cc4c2c	PM	MID_LEVEL	Skill
 Documentation 	f85f30a761cc4c2c	PM	MID_LEVEL	Skill
 Leadership 	f85f30a761cc4c2c	PM	MID_LEVEL	Skill
 Machine Learning 	70f971be35ba3bf8	PM	MID_LEVEL	Skill
 Agile 	70f971be35ba3bf8	PM	MID_LEVEL	Skill
 Problem Solving 	70f971be35ba3bf8	PM	MID_LEVEL	Skill
 Analytics 	70f971be35ba3bf8	PM	MID_LEVEL	Skill
 Leadership 	70f971be35ba3bf8	PM	MID_LEVEL	Skill
 Risk Management 	70f971be35ba3bf8	PM	MID_LEVEL	Skill
 SQL 	1d2c35cfd87602ed	PM	MID_LEVEL	Language
 Development 	1d2c35cfd87602ed	PM	MID_LEVEL	Skill
 Agile 	1d2c35cfd87602ed	PM	MID_LEVEL	Skill
 Testing 	1d2c35cfd87602ed	PM	MID_LEVEL	Skill
 Scrum 	1d2c35cfd87602ed	PM	MID_LEVEL	Skill
 Jira 	1d2c35cfd87602ed	PM	MID_LEVEL	Tool
 Salesforce 	1d2c35cfd87602ed	PM	MID_LEVEL	Tool
 Python 	4991b12f778c5892	PM	MID_LEVEL	Language
 C++ 	4991b12f778c5892	PM	MID_LEVEL	Language
 Development 	4991b12f778c5892	PM	MID_LEVEL	Skill
 Agile 	4991b12f778c5892	PM	MID_LEVEL	Skill
 Testing 	4991b12f778c5892	PM	MID_LEVEL	Skill
 Software Development 	4991b12f778c5892	PM	MID_LEVEL	Skill
 Jenkins 	4991b12f778c5892	PM	MID_LEVEL	Tool
 Git 	4991b12f778c5892	PM	MID_LEVEL	Tool
 Development 	a871bee6f38ef4d1	PM	MID_LEVEL	Skill
 Agile 	a871bee6f38ef4d1	PM	MID_LEVEL	Skill
 Testing 	a871bee6f38ef4d1	PM	MID_LEVEL	Skill
 Communication 	a871bee6f38ef4d1	PM	MID_LEVEL	Skill
 Software Development 	a871bee6f38ef4d1	PM	MID_LEVEL	Skill
 React 	3ef7b0c2d6191d7e	PM	MID_LEVEL	Language
 Development 	3ef7b0c2d6191d7e	PM	MID_LEVEL	Skill
 Agile 	3ef7b0c2d6191d7e	PM	MID_LEVEL	Skill
 Machine Learning 	2c1daa28f5b8e63e	PM	MID_LEVEL	Skill
 Agile 	2c1daa28f5b8e63e	PM	MID_LEVEL	Skill
 Problem Solving 	2c1daa28f5b8e63e	PM	MID_LEVEL	Skill
 Analytics 	2c1daa28f5b8e63e	PM	MID_LEVEL	Skill
 Leadership 	2c1daa28f5b8e63e	PM	MID_LEVEL	Skill
 Risk Management 	2c1daa28f5b8e63e	PM	MID_LEVEL	Skill
 Development 	11cb1ed3fc10980d	PM	MID_LEVEL	Skill
 Testing 	11cb1ed3fc10980d	PM	MID_LEVEL	Skill
 Communication 	11cb1ed3fc10980d	PM	MID_LEVEL	Skill
 MS Project 	11cb1ed3fc10980d	PM	MID_LEVEL	Tool
 SAP 	11cb1ed3fc10980d	PM	MID_LEVEL	Tool
 Communication 	90c7a04b3181533c	PM	MID_LEVEL	Skill
 Leadership 	90c7a04b3181533c	PM	MID_LEVEL	Skill
 Time Management 	90c7a04b3181533c	PM	MID_LEVEL	Skill
 Development 	410985abec188cfb	PM	MID_LEVEL	Skill
 Testing 	410985abec188cfb	PM	MID_LEVEL	Skill
 Communication 	410985abec188cfb	PM	MID_LEVEL	Skill
 MS Project 	410985abec188cfb	PM	MID_LEVEL	Tool
 SAP 	410985abec188cfb	PM	MID_LEVEL	Tool
 Development 	0cfabc2309189e56	PM	MID_LEVEL	Skill
 Collaboration 	0cfabc2309189e56	PM	MID_LEVEL	Skill
 Communication 	0cfabc2309189e56	PM	MID_LEVEL	Skill
 Machine Learning 	ad162d23fddd5561	PM	MID_LEVEL	Skill
 Agile 	ad162d23fddd5561	PM	MID_LEVEL	Skill
 Problem Solving 	ad162d23fddd5561	PM	MID_LEVEL	Skill
 Analytics 	ad162d23fddd5561	PM	MID_LEVEL	Skill
 Leadership 	ad162d23fddd5561	PM	MID_LEVEL	Skill
 Risk Management 	ad162d23fddd5561	PM	MID_LEVEL	Skill
 Development 	224c8348af5d249c	PM	MID_LEVEL	Skill
 Testing 	224c8348af5d249c	PM	MID_LEVEL	Skill
 Communication 	224c8348af5d249c	PM	MID_LEVEL	Skill
 MS Project 	224c8348af5d249c	PM	MID_LEVEL	Tool
 SAP 	224c8348af5d249c	PM	MID_LEVEL	Tool
 Development 	adf9a9c5a19c2767	PM	MID_LEVEL	Skill
 Testing 	adf9a9c5a19c2767	PM	MID_LEVEL	Skill
 Leadership 	adf9a9c5a19c2767	PM	MID_LEVEL	Skill
 Teamwork 	adf9a9c5a19c2767	PM	MID_LEVEL	Skill
 Microsoft Office 	adf9a9c5a19c2767	PM	MID_LEVEL	Tool
 Development 	ad1014de4ed50969	PM	MID_LEVEL	Skill
 Project Management 	ad1014de4ed50969	PM	MID_LEVEL	Skill
 Leadership 	ad1014de4ed50969	PM	MID_LEVEL	Skill
 Powerpoint 	ad1014de4ed50969	PM	MID_LEVEL	Tool
 Microsoft Office 	ad1014de4ed50969	PM	MID_LEVEL	Tool
 Project Management 	aded93704d887b8d	PM	MID_LEVEL	Skill
 REST 	aded93704d887b8d	PM	MID_LEVEL	Skill
 Analytical Skills 	aded93704d887b8d	PM	MID_LEVEL	Skill
 Development 	8b7bb31a2bec9752	PM	MID_LEVEL	Skill
 Communication 	8b7bb31a2bec9752	PM	MID_LEVEL	Skill
 Leadership 	8b7bb31a2bec9752	PM	MID_LEVEL	Skill
 Excel 	8b7bb31a2bec9752	PM	MID_LEVEL	Tool
 Development 	2b682338a6a4741b	PM	MID_LEVEL	Skill
 Salesforce 	2b682338a6a4741b	PM	MID_LEVEL	Tool
 Development 	cf267acc3016b7c3	PM	MID_LEVEL	Skill
 Problem Solving 	cf267acc3016b7c3	PM	MID_LEVEL	Skill
 Communication 	cf267acc3016b7c3	PM	MID_LEVEL	Skill
 Powerpoint 	cf267acc3016b7c3	PM	MID_LEVEL	Tool
 Excel 	cf267acc3016b7c3	PM	MID_LEVEL	Tool
