 Development 	248aadd1d771126a	PJM	MID_LEVEL	Skill
 Leadership 	248aadd1d771126a	PJM	MID_LEVEL	Skill
 Communication 	87facfedf0441023	PJM	MID_LEVEL	Skill
 Microsoft Azure 	ea37ec96b71a0643	PJM	MID_LEVEL	Cloud
 Development 	ea37ec96b71a0643	PJM	MID_LEVEL	Skill
 Time Management 	0a727254fe8361ea	PJM	MID_LEVEL	Skill
 Project Management 	0a727254fe8361ea	PJM	MID_LEVEL	Skill
 Budgeting 	0a727254fe8361ea	PJM	MID_LEVEL	Skill
 Communication 	0a727254fe8361ea	PJM	MID_LEVEL	Skill
 Development 	0a727254fe8361ea	PJM	MID_LEVEL	Skill
 Leadership 	0a727254fe8361ea	PJM	MID_LEVEL	Skill
 Microsoft Office 	0a727254fe8361ea	PJM	MID_LEVEL	Tool
 Construction Management 	e48df2546c1d7358	PJM	MID_LEVEL	Skill
 Project Management 	e48df2546c1d7358	PJM	MID_LEVEL	Skill
 Communication 	e48df2546c1d7358	PJM	MID_LEVEL	Skill
 Development 	e48df2546c1d7358	PJM	MID_LEVEL	Skill
 Documentation 	e48df2546c1d7358	PJM	MID_LEVEL	Skill
 Change Management 	e48df2546c1d7358	PJM	MID_LEVEL	Skill
 Project Management 	15873099c4386c20	PJM	MID_LEVEL	Skill
 Cost Estimating 	15873099c4386c20	PJM	MID_LEVEL	Skill
 Budgeting 	15873099c4386c20	PJM	MID_LEVEL	Skill
 Communication 	15873099c4386c20	PJM	MID_LEVEL	Skill
 Word 	15873099c4386c20	PJM	MID_LEVEL	Tool
 Problem Solving 	f2452f1f53119cf9	PJM	MID_LEVEL	Skill
 Project Management 	f2452f1f53119cf9	PJM	MID_LEVEL	Skill
 Communication 	f2452f1f53119cf9	PJM	MID_LEVEL	Skill
 Documentation 	f2452f1f53119cf9	PJM	MID_LEVEL	Skill
 Microsoft Office 	f2452f1f53119cf9	PJM	MID_LEVEL	Tool
 Excel 	f2452f1f53119cf9	PJM	MID_LEVEL	Tool
 Visio 	f2452f1f53119cf9	PJM	MID_LEVEL	Tool
 Project Management 	4bda004f885dfd38	PJM	MID_LEVEL	Skill
 Collaboration 	4bda004f885dfd38	PJM	MID_LEVEL	Skill
 Leadership 	4bda004f885dfd38	PJM	MID_LEVEL	Skill
 Change Management 	4bda004f885dfd38	PJM	MID_LEVEL	Skill
 Project Management 	b792c727b7f24cde	PJM	MID_LEVEL	Skill
 Budgeting 	b792c727b7f24cde	PJM	MID_LEVEL	Skill
 Communication 	b792c727b7f24cde	PJM	MID_LEVEL	Skill
 Development 	b792c727b7f24cde	PJM	MID_LEVEL	Skill
 Collaboration 	b792c727b7f24cde	PJM	MID_LEVEL	Skill
 Leadership 	b792c727b7f24cde	PJM	MID_LEVEL	Skill
 Communication 	1d843a66ad3fedf0	PJM	MID_LEVEL	Skill
 Development 	1d843a66ad3fedf0	PJM	MID_LEVEL	Skill
 Project Management 	66eb214fb4a4c745	PJM	MID_LEVEL	Skill
 Communication 	66eb214fb4a4c745	PJM	MID_LEVEL	Skill
 Development 	66eb214fb4a4c745	PJM	MID_LEVEL	Skill
 Project Management 	574f1cc94b387784	PJM	MID_LEVEL	Skill
 Communication 	574f1cc94b387784	PJM	MID_LEVEL	Skill
 Development 	574f1cc94b387784	PJM	MID_LEVEL	Skill
 Documentation 	574f1cc94b387784	PJM	MID_LEVEL	Skill
 Microsoft Office 	574f1cc94b387784	PJM	MID_LEVEL	Tool
